AGENCY_AREA,CATCHMENT,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_DIAT
ANGLIAN - CENTRAL,CAM (2),RIVER: Natural/semi-natural flowing fresh watercourse,CAM,56109,1,TL,43115,52707,TL4311552707,543115,252707,GB105033037600,259.6,03/07/2013,18/05/2009,11/05/2012,3,False
ANGLIAN - CENTRAL,CAM (2),RIVER: Natural/semi-natural flowing fresh watercourse,CAM,56070,1,TL,49100,45400,TL4910045400,549100,245400,GB105033037590,268.0,08/11/2016,01/05/2007,24/10/2007,2,False
ANGLIAN - CENTRAL,CAM (2),RIVER: Natural/semi-natural flowing fresh watercourse,SLADE,152694,1,TL,53339,38635,TL5333938635,553339,238635,GB105033037580,,,18/06/2009,14/06/2011,2,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,FANCOTT BROOK,56306,1,TL,02727,31671,TL0272731671,502727,231671,GB105033037640,237.1,01/01/1995,20/04/2009,16/09/2014,6,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,ICKWELL BROOK,56263,1,TL,15973,48037,TL1597348037,515973,248037,GB105033037800,223.8,23/01/2014,12/05/2015,12/05/2015,1,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,133361,1,TL,18900,38500,TL1890038500,518900,238500,GB105033037760,,,24/07/2009,08/06/2011,2,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,92417,1,TL,18300,41400,TL1830041400,518300,241400,GB105033037780,232.3,28/02/2013,31/07/2009,02/08/2011,2,False
ANGLIAN - CENTRAL,LARK,RIVER: Natural/semi-natural flowing fresh watercourse,KENNET,55999,1,TL,66231,73310,TL6623173310,566231,273310,GB105033043020,235.6,01/01/1995,21/04/2010,12/10/2010,2,False
ANGLIAN - CENTRAL,LARK,RIVER: Natural/semi-natural flowing fresh watercourse,LARK,92429,1,TL,68900,74300,TL6890074300,568900,274300,GB105033043052,253.1,28/02/2013,18/08/2009,24/08/2011,2,False
ANGLIAN - CENTRAL,"LT OUSE, SAPISTON, THET",RIVER: Natural/semi-natural flowing fresh watercourse,THET,92477,1,TM,02948,95071,TM0294895071,602948,295071,GB105033047830,270.1,28/02/2013,04/08/2009,27/06/2011,2,False
ANGLIAN - CENTRAL,MIDDLE LEVELS,RIVER: Natural/semi-natural flowing fresh watercourse,WELL CREEK,56394,1,TF,53150,02879,TF5315002879,553150,302879,GB205033000050,209.6,01/01/1995,26/05/2009,21/11/2012,4,False
ANGLIAN - CENTRAL,OLD WEST,RIVER: Natural/semi-natural flowing fresh watercourse,CAM,92798,1,TL,46600,50400,TL4660050400,546600,250400,GB105033037590,,,17/06/2010,20/08/2012,2,False
ANGLIAN - CENTRAL,OLD WEST RIVER,RIVER: Natural/semi-natural flowing fresh watercourse,OLD WEST RIVER,56057,1,TL,51481,72940,TL5148172940,551481,272940,GB205033043375,246.2,01/01/1995,08/04/2008,21/10/2008,2,False
ANGLIAN - CENTRAL,"OUSE, ELSTOW BK",RIVER: Natural/semi-natural flowing fresh watercourse,OUSE (ELSTOW),152689,1,TL,00025,42070,TL0002542070,500025,242070,GB105033038050,,,27/08/2009,24/06/2011,2,False
ANGLIAN - CENTRAL,OUZEL,RIVER: Natural/semi-natural flowing fresh watercourse,OUZEL,92436,1,SP,91400,26500,SP9140026500,491400,226500,GB105033037971,,,10/09/2012,10/09/2012,1,False
ANGLIAN - CENTRAL,OUZEL,RIVER: Natural/semi-natural flowing fresh watercourse,OUZEL,92435,1,SP,91500,26500,SP9150026500,491500,226500,GB105033037971,,,10/09/2012,10/09/2012,1,False
ANGLIAN - CENTRAL,PADBURY/CLAYDON BKS,RIVER: Natural/semi-natural flowing fresh watercourse,HORWOOD BROOK,56473,1,SP,74250,29547,SP7425029547,474250,229547,GB105033038200,253.0,01/01/1995,17/05/2013,23/09/2014,4,False
ANGLIAN - CENTRAL,PADBURY/CLAYDON BKS,RIVER: Natural/semi-natural flowing fresh watercourse,OUSE (PADBURY),92445,1,TL,08100,49800,TL0810049800,508100,249800,GB105033047923,,,11/08/2010,16/08/2012,2,False
ANGLIAN - CENTRAL,PADBURY/CLAYDON BKS,RIVER: Natural/semi-natural flowing fresh watercourse,OUSE (PADBURY),92442,1,SP,72500,34500,SP7250034500,472500,234500,GB105033037860,,,26/07/2010,17/09/2012,2,False
ANGLIAN - CENTRAL,RHEE,RIVER: Natural/semi-natural flowing fresh watercourse,WHADDON BROOK,92744,1,TL,35553,45813,TL3555345813,535553,245813,GB105033038020,220.4,13/11/2013,17/06/2010,17/06/2010,1,False
ANGLIAN - CENTRAL,SNAIL/SOHAM LODE,RIVER: Natural/semi-natural flowing fresh watercourse,SOHAM LODE,92492,1,TL,57800,74300,TL5780074300,557800,274300,GB105033042860,,,28/07/2009,25/08/2011,2,False
ANGLIAN - CENTRAL,TOVE,RIVER: Natural/semi-natural flowing fresh watercourse,TOVE,92496,1,SP,71600,48600,SP7160048600,471600,248600,GB105033038180,238.7,28/02/2013,02/08/2010,14/08/2012,2,False
ANGLIAN - CENTRAL,UPPER OUSE,RIVER: Natural/semi-natural flowing fresh watercourse,SYRESHAM STREAM,176725,1,SP,63833,41428,SP6383341428,463833,241428,GB105033037980,222.0,31/05/2016,28/04/2015,28/04/2015,1,False
ANGLIAN - CENTRAL,WISSEY,RIVER: Natural/semi-natural flowing fresh watercourse,WATTON BROOK,92472,1,TF,88400,00300,TF8840000300,588400,300300,GB105033047870,,,03/08/2010,18/09/2012,2,False
ANGLIAN - CENTRAL,WISSEY,RIVER: Natural/semi-natural flowing fresh watercourse,WATTON BROOK,56326,1,TF,87179,00798,TF8717900798,587179,300798,GB105033047870,265.4,03/07/2013,21/05/2008,23/09/2008,2,False
ANGLIAN - EASTERN,GOLDSANDS BROOK,RIVER: Natural/semi-natural flowing fresh watercourse,GOLDSANDS BROOK,54666,1,TQ,96600,96900,TQ9660096900,596600,196900,GB105037028570,212.9,01/01/1995,30/04/2008,15/09/2008,2,False
ANGLIAN - CENTRAL,IVEL,RIVER: Natural/semi-natural flowing fresh watercourse,TRIBUTARY OF FLIT,153393,1,TL,08710,37625,TL0871037625,508710,237625,GB105033037790,,,06/05/2009,13/10/2009,2,False
ANGLIAN - CENTRAL,OLD WEST RIVER,RIVER: Natural/semi-natural flowing fresh watercourse,WILLINGHAM LODE,147943,1,TL,38429,70987,TL3842970987,538429,270987,GB105033043370,,,01/07/2009,10/08/2011,2,False
ANGLIAN - CENTRAL,UPPER OUSE,RIVER: Natural/semi-natural flowing fresh watercourse,STOWE BROOK,160138,1,SP,66757,35557,SP6675735557,466757,235557,GB105033037890,241.5,27/01/2014,13/05/2013,28/04/2015,2,False
ANGLIAN - EASTERN,ALDE AND ORE,RIVER: Natural/semi-natural flowing fresh watercourse,FROMUS,54845,1,TM,38500,58600,TM3850058600,638500,258600,GB105035045980,288.6,01/01/1995,16/05/2007,24/09/2015,6,False
ANGLIAN - EASTERN,BLACKWATER (ANGLIAN),RIVER: Natural/semi-natural flowing fresh watercourse,PANT,54584,1,TL,64350,35200,TL6435035200,564350,235200,GB105037041180,248.3,01/01/1995,23/04/2007,02/10/2007,2,False
ANGLIAN - EASTERN,BRAIN (2),RIVER: Natural/semi-natural flowing fresh watercourse,BRAIN,54587,1,TL,81880,14960,TL8188014960,581880,214960,GB105037041140,242.8,01/01/1995,20/05/2008,13/10/2008,2,False
ANGLIAN - EASTERN,BURE,RIVER: Natural/semi-natural flowing fresh watercourse,BURE,54814,1,TG,30200,18500,TG3020018500,630200,318500,GB105034050930,221.6,01/01/1995,15/04/2008,04/10/2010,4,False
ANGLIAN - EASTERN,CROUCH,RIVER: Natural/semi-natural flowing fresh watercourse,CROUCH,54653,1,TQ,75300,94050,TQ7530094050,575300,194050,GB105037028550,160.0,01/01/1995,12/05/2008,18/11/2013,4,False
ANGLIAN - EASTERN,GIPPING,RIVER: Natural/semi-natural flowing fresh watercourse,GIPPING,54852,1,TM,04700,60300,TM0470060300,604700,260300,GB105035046180,320.7,01/01/1995,23/04/2008,12/09/2013,4,False
ANGLIAN - EASTERN,GIPPING,RIVER: Natural/semi-natural flowing fresh watercourse,JORDAN,54858,1,TM,08800,56400,TM0880056400,608800,256400,GB105035046170,302.0,04/10/2012,14/05/2010,17/11/2010,2,False
ANGLIAN - EASTERN,GIPPING,RIVER: Natural/semi-natural flowing fresh watercourse,GIPPING,157805,1,TM,06070,57800,TM0607057800,606070,257800,GB105035046280,,,30/08/2011,30/08/2011,1,False
ANGLIAN - EASTERN,STOUR (ANGLIAN),RIVER: Natural/semi-natural flowing fresh watercourse,STOUR (ANG),54714,1,TM,07550,33270,TM0755033270,607550,233270,GB105036041000,257.6,01/01/1995,04/06/2010,04/06/2010,1,False
ANGLIAN - EASTERN,STOUR (ANGLIAN),RIVER: Natural/semi-natural flowing fresh watercourse,STOUR (ANG),92465,1,TL,86800,42100,TL8680042100,586800,242100,GB105036040941,,,30/08/2006,11/09/2009,2,False
ANGLIAN - EASTERN,TAS,RIVER: Natural/semi-natural flowing fresh watercourse,FLORDON BECK (TAS TRIB.),154294,1,TM,18009,97258,TM1800997258,618009,297258,GB105034050950,322.0,04/10/2012,26/05/2010,20/10/2010,2,False
ANGLIAN - EASTERN,WENSUM,RIVER: Natural/semi-natural flowing fresh watercourse,TAT,54948,1,TF,86700,28000,TF8670028000,586700,328000,GB105034051140,221.5,01/01/1995,20/05/2010,12/10/2012,3,False
ANGLIAN - EASTERN,WID,RIVER: Natural/semi-natural flowing fresh watercourse,CHAINBRIDGE TRIBUTARY,54762,1,TQ,62000,97000,TQ6200097000,562000,197000,GB105037028660,237.9,01/01/1995,12/05/2010,04/11/2010,2,False
ANGLIAN - EASTERN,WID,RIVER: Natural/semi-natural flowing fresh watercourse,WID,54763,1,TQ,60500,98780,TQ6050098780,560500,198780,GB105037028720,303.5,01/01/1995,28/04/2009,29/10/2014,6,False
ANGLIAN - EASTERN,YARE (1),RIVER: Natural/semi-natural flowing fresh watercourse,HACKFORD WATERCOURSE (TIFFEY TRIB.),154296,1,TG,08237,03457,TG0823703457,608237,303457,GB105034051200,297.0,04/10/2012,05/05/2010,13/10/2010,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,DYKE: Natural or artificial watercourse primarily used for land drainage,CAR DYKE,152833,1,TF,11829,61735,TF1182961735,511829,361735,GB105030056225,235.0,04/10/2012,20/04/2009,10/09/2009,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,BARLINGS EAU,55029,1,TF,08500,74700,TF0850074700,508500,374700,GB105030062290,236.3,01/01/1995,20/04/2009,07/09/2009,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,BRANT,55045,1,SK,91300,49700,SK9130049700,491300,349700,GB105030056110,252.1,04/10/2012,21/04/2010,09/11/2010,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,CRINGLE BROOK,154416,1,SK,92306,28951,SK9230628951,492306,328951,GB105030051590,,,25/09/2000,20/07/2018,11,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,FOSTON BECK (ALLINGTON TRIBUTARY),54992,1,SK,86090,37872,SK8609037872,486090,337872,GB105030056740,,,21/04/2009,11/09/2009,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,RUSKINGTON BECK,152837,1,TF,09053,50528,TF0905350528,509053,350528,GB105030056700,,,22/04/2009,10/09/2009,2,False
ANGLIAN - NORTHERN,EAST LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,BAIN,55017,1,TF,23100,84900,TF2310084900,523100,384900,GB105030062300,210.7,05/12/2013,13/04/2010,21/10/2010,2,False
ANGLIAN - NORTHERN,EAST LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,SOUTH BECK,55342,1,TF,07557,38160,TF0755738160,507557,338160,GB105030056520,,,21/04/2009,09/09/2009,2,False
ANGLIAN - EASTERN,WAVENEY (1),RIVER: Natural/semi-natural flowing fresh watercourse,WAVENEY,80998,1,TM,28365,85735,TM2836585735,628365,285735,GB105034045900,288.8,01/01/2003,25/05/2010,01/10/2012,4,False
ANGLIAN - EASTERN,WENSUM,RIVER: Natural/semi-natural flowing fresh watercourse,SWANNINGTON BECK,144505,1,TG,12200,17800,TG1220017800,612200,317800,GB105034055881,,,11/05/2011,27/09/2011,2,False
ANGLIAN - EASTERN,WENSUM,RIVER: Natural/semi-natural flowing fresh watercourse,WENDLING BECK,85897,1,TF,97590,13620,TF9759013620,597590,313620,GB105034051020,253.0,04/10/2012,05/07/2001,01/08/2011,4,False
ANGLIAN - EASTERN,WENSUM,RIVER: Natural/semi-natural flowing fresh watercourse,WENSUM,85720,1,TF,92311,29185,TF9231129185,592311,329185,GB105034055881,250.7,04/10/2012,24/07/2001,21/11/2011,3,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,HONINGTON BECK,55156,1,SK,94282,47160,SK9428247160,494282,347160,GB105030056750,179.0,04/10/2012,21/04/2009,11/09/2009,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,UPPER WITHAM,55418,1,SK,92900,27400,SK9290027400,492900,327400,GB105030051570,285.9,01/01/1995,23/05/2007,09/11/2007,2,False
ANGLIAN - NORTHERN,EAST LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,HOBHOLE DRAIN,55154,1,TF,36800,44000,TF3680044000,536800,344000,GB105030056320,249.0,01/01/1995,21/05/2008,22/05/2012,4,False
ANGLIAN - NORTHERN,EAST LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,MAUD FOSTER DRAIN,55214,1,TF,32900,46500,TF3290046500,532900,346500,GB105030056790,162.3,01/01/1995,21/05/2008,22/05/2012,5,False
ANGLIAN - NORTHERN,EAST LINCS,RIVER: Natural/semi-natural flowing fresh watercourse,SOUTH BECK,55343,1,TF,07757,38320,TF0775738320,507757,338320,GB105030056520,239.0,04/10/2012,09/09/2009,09/09/2009,1,False
ANGLIAN - NORTHERN,LOWER NENE,RIVER: Natural/semi-natural flowing fresh watercourse,NENE,55688,1,TL,02600,83900,TL0260083900,502600,283900,GB105032050381,186.1,01/01/1995,02/05/2007,21/11/2007,2,False
ANGLIAN - NORTHERN,LOWER NENE,RIVER: Natural/semi-natural flowing fresh watercourse,WILLOW BROOK (SOUTH),55859,1,SP,92986,89510,SP9298689510,492986,289510,GB105032045580,189.0,01/01/1995,27/08/1998,27/08/1998,1,False
ANGLIAN - NORTHERN,UPPER NENE,RIVER: Natural/semi-natural flowing fresh watercourse,NENE,154596,1,SP,96088,71399,SP9608871399,496088,271399,,,,27/08/1998,27/08/1998,1,False
ANGLIAN - NORTHERN,UPPER NENE,RIVER: Natural/semi-natural flowing fresh watercourse,PITSFORD ARM/FAXTON BROOK,55722,1,SP,75100,68500,SP7510068500,475100,268500,GB105032045470,138.0,21/01/2014,22/04/2015,22/04/2015,1,False
ANGLIAN - NORTHERN,WELLAND,RIVER: Natural/semi-natural flowing fresh watercourse,CHATER,55501,1,SK,98300,04300,SK9830004300,498300,304300,GB105031050440,187.8,01/01/1995,27/05/2008,07/04/2014,3,False
ANGLIAN - NORTHERN,WELLAND,RIVER: Natural/semi-natural flowing fresh watercourse,GWASH,55584,1,SK,98900,09400,SK9890009400,498900,309400,GB105031050610,199.6,01/01/1995,19/04/2006,29/10/2014,6,False
ANGLIAN - NORTHERN,WELLAND,RIVER: Natural/semi-natural flowing fresh watercourse,GWASH (SOUTH),55582,1,SK,86800,05100,SK8680005100,486800,305100,GB105031050480,240.2,01/01/1995,26/04/2010,05/10/2010,2,False
ANGLIAN - NORTHERN,WELLAND,RIVER: Natural/semi-natural flowing fresh watercourse,WEST GLEN,55555,1,TF,01900,17700,TF0190017700,501900,317700,GB105031050770,190.9,01/01/1995,01/11/2006,01/11/2006,1,False
MIDLANDS - CENTRAL,AVON (SOWE-BIDFORD) (LS),RIVER: Natural/semi-natural flowing fresh watercourse,DENE,152924,1,SP,31185,50241,SP3118550241,431185,250241,GB109054039540,,,22/05/2009,29/09/2010,4,False
MIDLANDS - CENTRAL,STOUR (WARWICKSHIRE) (LS),RIVER: Natural/semi-natural flowing fresh watercourse,HUMBER BROOK (WARKS),154285,1,SP,21053,48898,SP2105348898,421053,248898,GB109054039900,206.5,04/10/2012,20/04/2010,21/09/2010,2,False
MIDLANDS - CENTRAL,STOUR (WARWICKSHIRE) (LS),RIVER: Natural/semi-natural flowing fresh watercourse,WAGTAIL BROOK,152929,1,SP,31487,46228,SP3148746228,431487,246228,GB109054039890,211.0,04/10/2012,22/05/2009,08/09/2010,4,False
MIDLANDS - EAST,DERWENT (DERBYSHIRE),RIVER: Natural/semi-natural flowing fresh watercourse,HIGHSHORE CLOUGH,161092,1,SK,21329,87338,SK2132987338,421329,387338,GB104028057900,70.0,15/11/2013,02/05/2013,31/10/2017,4,False
MIDLANDS - EAST,EREWASH,RIVER: Natural/semi-natural flowing fresh watercourse,EREWASH,92931,2,SK,45551,46573,SK4555146573,445551,346573,GB104028052530,176.0,04/10/2012,14/08/2007,14/08/2007,1,False
MIDLANDS - EAST,EREWASH,RIVER: Natural/semi-natural flowing fresh watercourse,GILT BROOK,154963,1,SK,47428,44352,SK4742844352,447428,344352,GB104028052570,295.0,01/03/2011,18/05/2010,20/10/2010,2,False
MIDLANDS - EAST,IDLE,RIVER: Natural/semi-natural flowing fresh watercourse,IDLE,92362,2,SK,70300,84200,SK7030084200,470300,384200,GB104028058091,,,28/06/2005,16/08/2006,2,False
MIDLANDS - EAST,MAUN,RIVER: Natural/semi-natural flowing fresh watercourse,BEVERCOTES BECK,53969,2,SK,68168,68062,SK6816868062,468168,368062,GB104028058070,127.2,01/01/1995,12/05/2015,12/05/2015,1,False
MIDLANDS - EAST,MAUN,RIVER: Natural/semi-natural flowing fresh watercourse,MAUN,92366,2,SK,54606,61548,SK5460661548,454606,361548,GB104028052960,200.0,04/10/2012,13/08/2007,13/08/2007,1,False
MIDLANDS - EAST,SOAR,RIVER: Natural/semi-natural flowing fresh watercourse,WILLOW BROOK,153178,1,SK,67166,03565,SK6716603565,467166,303565,GB104028046980,,,13/05/2009,22/10/2009,2,False
MIDLANDS - EAST,TRENT (LOWER),RIVER: Natural/semi-natural flowing fresh watercourse,POLSER BROOK,52290,2,SK,61924,34999,SK6192434999,461924,334999,GB104028053180,222.0,04/10/2012,06/11/2007,17/09/2008,3,False
ANGLIAN - NORTHERN,LOWER NENE,RIVER: Natural/semi-natural flowing fresh watercourse,STANGROUND LODE,77176,1,TL,20069,97074,TL2006997074,520069,297074,GB105032050340,184.0,21/01/2014,20/05/2015,20/05/2015,1,False
ANGLIAN - NORTHERN,WELLAND,RIVER: Natural/semi-natural flowing fresh watercourse,MEDBOURNE BROOK,142269,1,SP,79700,93300,SP7970093300,479700,293300,GB105031050520,234.0,04/10/2012,28/09/2010,15/05/2012,2,False
MIDLANDS - CENTRAL,PENK (UT),RIVER: Natural/semi-natural flowing fresh watercourse,SAREDON (WASH) BROOK,142961,2,SJ,97761,08195,SJ9776108195,397761,308195,GB104028046740,,,01/09/2006,01/09/2006,1,False
MIDLANDS - CENTRAL,ARROW & ALNE (LS),RIVER: Natural/semi-natural flowing fresh watercourse,ALNE,50771,2,SP,14240,61160,SP1424061160,414240,261160,GB109054043720,221.3,01/01/1995,22/06/2007,01/11/2007,2,False
MIDLANDS - CENTRAL,ARROW & ALNE (LS),RIVER: Natural/semi-natural flowing fresh watercourse,ARROW (ARROW & ALNE),49902,2,SP,02140,73960,SP0214073960,402140,273960,GB109054043890,123.8,01/01/1995,09/09/1997,09/09/1997,1,False
MIDLANDS - EAST,TRENT (LOWER),CANAL: Artificial water course primarily used for navigation,NOTTINGHAM CANAL,50005,2,SK,57954,38511,SK5795438511,457954,338511,GB104028053110,159.9,01/01/2003,07/04/2009,28/10/2009,2,False
MIDLANDS - CENTRAL,ARROW & ALNE (LS),RIVER: Natural/semi-natural flowing fresh watercourse,ARROW (ARROW & ALNE),49101,2,SP,08323,51266,SP0832351266,408323,251266,GB109054043680,205.6,01/01/1995,11/09/1997,11/09/1997,1,False
MIDLANDS - CENTRAL,AVON (ABOVE SOWE) (LS),RIVER: Natural/semi-natural flowing fresh watercourse,CLIFTON BROOK,52667,2,SP,51740,76170,SP5174076170,451740,276170,GB109054043900,161.9,01/01/1995,09/05/2008,07/10/2014,4,False
MIDLANDS - CENTRAL,AVON (SOWE-BIDFORD) (LS),RIVER: Natural/semi-natural flowing fresh watercourse,SHOTTERY BROOK,52664,2,SP,18390,53430,SP1839053430,418390,253430,GB109054043670,196.0,04/10/2012,05/05/2009,05/11/2009,2,False
MIDLANDS - CENTRAL,CHURNET (UT),RIVER: Natural/semi-natural flowing fresh watercourse,COMBES BROOK,53636,2,SJ,99499,51236,SJ9949951236,399499,351236,GB104028052690,44.8,01/03/2013,19/04/2013,18/09/2013,2,False
MIDLANDS - EAST,AMBER,RIVER: Natural/semi-natural flowing fresh watercourse,AMBER,53845,2,SK,38721,56913,SK3872156913,438721,356913,GB104028052340,95.7,01/01/1995,14/05/2015,14/05/2015,1,False
MIDLANDS - CENTRAL,DOVE(LOWER) (UT),RIVER: Natural/semi-natural flowing fresh watercourse,ALDERS BROOK,52765,2,SK,09610,37310,SK0961037310,409610,337310,GB104028052470,239.8,04/10/2012,10/05/2010,25/10/2010,2,False
MIDLANDS - CENTRAL,DOVE(LOWER) (UT),RIVER: Natural/semi-natural flowing fresh watercourse,DOVE,52850,2,SK,26774,27213,SK2677427213,426774,327213,GB104028047370,172.1,01/01/1995,20/05/2010,23/09/2014,4,False
MIDLANDS - EAST,ECCLESBOURNE,RIVER: Natural/semi-natural flowing fresh watercourse,ECCLESBOURNE (RIVER ECCLESBOURNE),52718,2,SK,34762,43193,SK3476243193,434762,343193,GB104028052720,108.1,01/01/1995,18/04/2008,21/10/2014,7,False
MIDLANDS - CENTRAL,DOVE(UPPER) (UT),RIVER: Natural/semi-natural flowing fresh watercourse,DOVE (DOVE(UPPER)),51357,2,SK,12082,59798,SK1208259798,412082,359798,GB104028057780,143.3,01/01/1995,26/04/2006,31/10/2006,2,False
MIDLANDS - EAST,DEVON,RIVER: Natural/semi-natural flowing fresh watercourse,CAR DYKE,51329,2,SK,78183,50890,SK7818350890,478183,350890,GB104028052600,232.8,01/01/1995,14/07/2006,14/10/2008,5,False
MIDLANDS - EAST,DEVON,RIVER: Natural/semi-natural flowing fresh watercourse,MIDDLE BECK,51331,2,SK,78686,51511,SK7868651511,478686,351511,GB104028052632,171.0,01/01/1995,14/07/2006,16/07/2008,3,False
MIDLANDS - EAST,SOAR,RIVER: Natural/semi-natural flowing fresh watercourse,BLACK BROOK,51073,2,SK,46720,17070,SK4672017070,446720,317070,GB104028047070,193.3,01/01/1995,15/05/2013,11/09/2018,14,False
MIDLANDS - CENTRAL,DOVE(UPPER) (UT),RIVER: Natural/semi-natural flowing fresh watercourse,HAMPS,47257,2,SK,08394,50235,SK0839450235,408394,350235,GB104028052900,115.3,01/01/1995,19/07/2006,02/11/2010,3,False
MIDLANDS - EAST,ALFRETON BROOK,RIVER: Natural/semi-natural flowing fresh watercourse,WESTWOOD BROOK,47160,2,SK,41987,57483,SK4198757483,441987,357483,GB104028052360,159.0,01/01/1995,28/04/2008,28/04/2015,3,False
MIDLANDS - EAST,MAUN,RIVER: Natural/semi-natural flowing fresh watercourse,MAUN,47130,2,SK,55371,63206,SK5537163206,455371,363206,GB104028052960,197.0,01/01/1995,14/05/2008,16/09/2008,2,False
MIDLANDS - EAST,MEDEN,RIVER: Natural/semi-natural flowing fresh watercourse,MEDEN,47195,2,SK,70276,75032,SK7027675032,470276,375032,GB104028058080,204.6,01/01/1995,13/05/2008,08/10/2014,4,False
MIDLANDS - EAST,SOAR,RIVER: Natural/semi-natural flowing fresh watercourse,SOAR,47275,2,SK,60500,11200,SK6050011200,460500,311200,GB104028047030,186.3,01/01/1995,31/05/2007,02/11/2007,2,False
MIDLANDS - CENTRAL,LEAM (LS),RIVER: Natural/semi-natural flowing fresh watercourse,LEAM,49704,2,SP,30910,65550,SP3091065550,430910,265550,GB109054044140,182.9,01/01/1995,06/05/2009,22/09/2009,2,False
MIDLANDS - EAST,ECCLESBOURNE,RIVER: Natural/semi-natural flowing fresh watercourse,ECCLESBOURNE (RIVER ECCLESBOURNE),49700,2,SK,32000,44607,SK3200044607,432000,344607,GB104028052720,129.5,01/01/1995,20/04/2010,27/09/2010,2,False
MIDLANDS - CENTRAL,MEASE (UT),RIVER: Natural/semi-natural flowing fresh watercourse,MEASE,50447,2,SK,32690,11594,SK3269011594,432690,311594,GB104028046570,196.9,01/01/1995,16/06/2004,16/06/2004,1,False
MIDLANDS - CENTRAL,SOW (UT),RIVER: Natural/semi-natural flowing fresh watercourse,SOW,50369,2,SJ,97520,21556,SJ9752021556,397520,321556,GB104028047190,191.4,01/01/1995,27/08/2008,21/09/2009,3,False
MIDLANDS - CENTRAL,"TRENT(UPPER) (UT) : PLEASE USE ""UPPER TRENT (UT)",RIVER: Natural/semi-natural flowing fresh watercourse,FORD GREEN BROOK,50338,2,SJ,89871,50104,SJ8987150104,389871,350104,GB104028053380,168.3,01/01/1995,06/05/2010,15/11/2010,2,False
MIDLANDS - EAST,DERWENT (DERBYSHIRE),RIVER: Natural/semi-natural flowing fresh watercourse,MARKEATON BROOK,50488,2,SK,33245,38175,SK3324538175,433245,338175,GB104028052850,163.1,01/01/1995,02/06/2016,20/10/2016,2,False
MIDLANDS - CENTRAL,PENK (UT),RIVER: Natural/semi-natural flowing fresh watercourse,PENK,48479,2,SJ,93813,21597,SJ9381321597,393813,321597,GB104028047120,180.4,01/01/1995,10/09/2007,21/09/2009,4,False
MIDLANDS - EAST,DERWENT (DERBYSHIRE),RIVER: Natural/semi-natural flowing fresh watercourse,MARKEATON BROOK,48447,2,SK,35813,36089,SK3581336089,435813,336089,GB104028052830,155.9,01/01/1995,22/05/2014,19/09/2014,2,False
MIDLANDS - EAST,EREWASH,CANAL: Artificial water course primarily used for navigation,EREWASH CANAL (EREWASH),48440,2,SK,48198,38748,SK4819838748,448198,338748,GB104028052480,288.0,01/01/1995,13/07/2006,13/07/2006,1,False
MIDLANDS - CENTRAL,SOWE (LS),RIVER: Natural/semi-natural flowing fresh watercourse,SOWE,89718,2,SP,33990,74000,SP3399074000,433990,274000,GB109054044540,195.0,04/10/2012,11/09/1997,20/08/2007,5,False
MIDLANDS - CENTRAL,TAME (UT),RIVER: Natural/semi-natural flowing fresh watercourse,TAME (UT),47770,2,SK,21033,01814,SK2103301814,421033,301814,GB104028046440,134.3,01/01/1995,13/06/2007,29/09/2014,4,False
MIDLANDS - CENTRAL,TEAN (UT),RIVER: Natural/semi-natural flowing fresh watercourse,TEAN,47423,2,SK,02800,37700,SK0280037700,402800,337700,GB104028052450,134.4,01/01/1995,25/04/2008,21/11/2008,2,False
MIDLANDS - EAST,GREET,RIVER: Natural/semi-natural flowing fresh watercourse,COTTON MILL DYKE,47655,2,SK,66200,56100,SK6620056100,466200,356100,GB104028053410,,,08/10/2009,08/10/2009,1,False
