AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,660112,NBNSYS0100046453,1
ANGLIAN - CENTRAL,660112,NBNSYS0100046734,9
ANGLIAN - CENTRAL,660112,NBNSYS0100046740,1
ANGLIAN - CENTRAL,660112,NBNSYS0100047784,1
ANGLIAN - CENTRAL,660112,NBNSYS0100049239,3
ANGLIAN - CENTRAL,660112,NBNSYS0100049331,90
ANGLIAN - CENTRAL,660112,NBNSYS0100049459,5
ANGLIAN - CENTRAL,660112,NBNSYS0100049481,2
ANGLIAN - CENTRAL,660112,NBNSYS0100049740,3
ANGLIAN - CENTRAL,660112,NBNSYS0100049794,1
ANGLIAN - CENTRAL,660112,NBNSYS0100049811,2
ANGLIAN - CENTRAL,660112,NHMSYS0000524017,6
ANGLIAN - CENTRAL,660112,NBNSYS0100051971,2
ANGLIAN - CENTRAL,660112,NBNSYS0100053515,1
ANGLIAN - CENTRAL,709738,NBNSYS0100041609,8
ANGLIAN - CENTRAL,709738,NBNSYS0100041935,7
ANGLIAN - CENTRAL,709738,NBNSYS0100043872,12
ANGLIAN - CENTRAL,709738,NBNSYS0100043875,8
ANGLIAN - CENTRAL,709738,NBNSYS0100048616,14
ANGLIAN - CENTRAL,709738,NBNSYS0100048637,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049293,10
ANGLIAN - CENTRAL,709738,NBNSYS0100049331,202
ANGLIAN - CENTRAL,709738,NBNSYS0100049354,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049459,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049729,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049740,2
ANGLIAN - CENTRAL,709738,NBNSYS0100049777,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049794,2
ANGLIAN - CENTRAL,709738,NBNSYS0100049811,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049828,1
ANGLIAN - CENTRAL,709738,NBNSYS0100049843,1
ANGLIAN - CENTRAL,709738,NBNSYS0100051134,3
ANGLIAN - CENTRAL,709738,NBNSYS0100053352,1
ANGLIAN - CENTRAL,709738,NBNSYS0100053515,22
ANGLIAN - CENTRAL,709738,NBNSYS0100053652,2
ANGLIAN - CENTRAL,595714,NHMSYS0020475041,10
ANGLIAN - CENTRAL,595714,NBNSYS0100041935,25
ANGLIAN - CENTRAL,595714,NBNSYS0100041946,18
ANGLIAN - CENTRAL,595714,NBNSYS0100043874,1
ANGLIAN - CENTRAL,595714,NBNSYS0100043875,4
ANGLIAN - CENTRAL,595714,NBNSYS0100043878,1
ANGLIAN - CENTRAL,595714,NBNSYS0100046453,1
ANGLIAN - CENTRAL,595714,NBNSYS0100046734,9
ANGLIAN - CENTRAL,595714,NBNSYS0100046740,23
ANGLIAN - CENTRAL,595714,NBNSYS0100046917,2
ANGLIAN - CENTRAL,595714,NBNSYS0100047734,2
ANGLIAN - CENTRAL,595714,NBNSYS0100049165,5
ANGLIAN - CENTRAL,595714,NBNSYS0100049239,3
ANGLIAN - CENTRAL,595714,NBNSYS0100049293,58
ANGLIAN - CENTRAL,595714,NBNSYS0100049331,5
ANGLIAN - CENTRAL,595714,NBNSYS0100049406,2
ANGLIAN - CENTRAL,595714,NBNSYS0100049459,11
ANGLIAN - CENTRAL,595714,NBNSYS0100049481,4
ANGLIAN - CENTRAL,595714,NBNSYS0100049494,1
ANGLIAN - CENTRAL,595714,NBNSYS0100049698,2
ANGLIAN - CENTRAL,595714,NBNSYS0100049705,4
ANGLIAN - CENTRAL,595714,NBNSYS0100049740,7
ANGLIAN - CENTRAL,595714,NBNSYS0100049777,1
ANGLIAN - CENTRAL,595714,NBNSYS0100049834,3
ANGLIAN - CENTRAL,595714,NBNSYS0100049843,1
ANGLIAN - CENTRAL,595714,NBNSYS0100051125,2
ANGLIAN - CENTRAL,595714,NBNSYS0100051130,27
ANGLIAN - CENTRAL,595714,NBNSYS0100051134,41
ANGLIAN - CENTRAL,595714,NHMSYS0000524017,3
ANGLIAN - CENTRAL,595714,NBNSYS0100052065,1
ANGLIAN - CENTRAL,595714,NBNSYS0100053515,29
ANGLIAN - CENTRAL,595699,NHMSYS0020475041,8
ANGLIAN - CENTRAL,595699,NBNSYS0100041935,186
ANGLIAN - CENTRAL,595699,NBNSYS0100041946,1
ANGLIAN - CENTRAL,595699,NBNSYS0100043875,3
ANGLIAN - CENTRAL,595699,NBNSYS0100044911,1
ANGLIAN - CENTRAL,595699,NBNSYS0100045701,1
ANGLIAN - CENTRAL,595699,NBNSYS0100046323,1
ANGLIAN - CENTRAL,595699,NHMSYS0020063128,3
ANGLIAN - CENTRAL,595699,NBNSYS0100048616,7
ANGLIAN - CENTRAL,595699,NBNSYS0100049217,1
ANGLIAN - CENTRAL,595699,NBNSYS0100049293,11
ANGLIAN - CENTRAL,595699,NBNSYS0100049331,1
ANGLIAN - CENTRAL,595699,NBNSYS0100049353,1
ANGLIAN - CENTRAL,595699,NBNSYS0100049406,2
ANGLIAN - CENTRAL,595699,NBNSYS0100049481,12
ANGLIAN - CENTRAL,595699,NBNSYS0100049705,1
ANGLIAN - CENTRAL,595699,NBNSYS0100049740,14
ANGLIAN - CENTRAL,595699,NBNSYS0100049777,8
ANGLIAN - CENTRAL,595699,NBNSYS0100049794,1
ANGLIAN - CENTRAL,595699,NBNSYS0100049828,1
ANGLIAN - CENTRAL,595699,NBNSYS0100051130,6
ANGLIAN - CENTRAL,595699,NBNSYS0100051134,2
ANGLIAN - CENTRAL,595699,NHMSYS0000524017,12
ANGLIAN - CENTRAL,595699,NBNSYS0100051971,6
ANGLIAN - CENTRAL,595699,NBNSYS0100052065,7
ANGLIAN - CENTRAL,595699,NBNSYS0100054311,3
ANGLIAN - CENTRAL,595708,NHMSYS0020475041,23
ANGLIAN - CENTRAL,595708,NBNSYS0100041935,51
ANGLIAN - CENTRAL,595708,NBNSYS0100042879,1
