AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,609577,NBNSYS0100049481,51
ANGLIAN - CENTRAL,609577,NBNSYS0100049483,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049705,2
ANGLIAN - CENTRAL,609577,NBNSYS0100049740,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049757,1
ANGLIAN - CENTRAL,609577,NBNSYS0100049770,3
ANGLIAN - CENTRAL,609577,NBNSYS0100049794,5
ANGLIAN - CENTRAL,609577,NBNSYS0100049843,1
ANGLIAN - CENTRAL,609577,NHMSYS0000524017,2
ANGLIAN - CENTRAL,609577,NBNSYS0100051799,2
ANGLIAN - CENTRAL,609577,NBNSYS0100052065,4
ANGLIAN - CENTRAL,609577,NBNSYS0100053281,2
ANGLIAN - CENTRAL,609577,NBNSYS0100053286,1
ANGLIAN - CENTRAL,609577,NBNSYS0100053644,1
ANGLIAN - CENTRAL,609577,NBNSYS0100053652,2
ANGLIAN - CENTRAL,609582,NHMSYS0020475041,18
ANGLIAN - CENTRAL,609582,NBNSYS0100041921,9
ANGLIAN - CENTRAL,609582,NBNSYS0100041923,16
ANGLIAN - CENTRAL,609582,NBNSYS0100041934,5
ANGLIAN - CENTRAL,609582,NBNSYS0100041935,89
ANGLIAN - CENTRAL,609582,NBNSYS0100043872,6
ANGLIAN - CENTRAL,609582,NBNSYS0100043874,2
ANGLIAN - CENTRAL,609582,NBNSYS0100043875,2
ANGLIAN - CENTRAL,609582,NBNSYS0100043878,14
ANGLIAN - CENTRAL,609582,NBNSYS0100044842,1
ANGLIAN - CENTRAL,609582,NBNSYS0100046453,4
ANGLIAN - CENTRAL,609582,NBNSYS0100046734,1
ANGLIAN - CENTRAL,609582,NHMSYS0020063128,2
ANGLIAN - CENTRAL,609582,NBNSYS0100046752,1
ANGLIAN - CENTRAL,609582,NBNSYS0100046916,1
ANGLIAN - CENTRAL,609582,NHMSYS0020063130,1
ANGLIAN - CENTRAL,609582,NBNSYS0100048616,2
ANGLIAN - CENTRAL,609582,NBNSYS0100049162,2
ANGLIAN - CENTRAL,609582,NBNSYS0100049171,2
ANGLIAN - CENTRAL,609582,NBNSYS0100049208,1
ANGLIAN - CENTRAL,609582,NBNSYS0100049211,1
ANGLIAN - CENTRAL,609582,NBNSYS0100049233,1
ANGLIAN - CENTRAL,609582,NBNSYS0100049239,2
ANGLIAN - CENTRAL,609582,NBNSYS0100049353,4
ANGLIAN - CENTRAL,609582,NBNSYS0100049354,3
ANGLIAN - CENTRAL,609582,NBNSYS0100049481,12
ANGLIAN - CENTRAL,609582,NBNSYS0100049483,1
ANGLIAN - CENTRAL,609582,NBNSYS0100049690,1
ANGLIAN - CENTRAL,609582,NBNSYS0100049705,61
ANGLIAN - CENTRAL,609582,NBNSYS0100049740,6
ANGLIAN - CENTRAL,609582,NBNSYS0100049757,7
ANGLIAN - CENTRAL,609582,NBNSYS0100049770,3
ANGLIAN - CENTRAL,609582,NBNSYS0100051130,8
ANGLIAN - CENTRAL,609582,NBNSYS0100051134,3
ANGLIAN - CENTRAL,609582,NHMSYS0000524017,1
ANGLIAN - CENTRAL,609582,NBNSYS0100052065,3
ANGLIAN - CENTRAL,609582,NBNSYS0100052460,1
ANGLIAN - CENTRAL,609582,NBNSYS0100053286,1
ANGLIAN - CENTRAL,609582,NBNSYS0100053352,1
ANGLIAN - CENTRAL,609582,NBNSYS0100053507,1
ANGLIAN - CENTRAL,609582,NBNSYS0100053515,1
ANGLIAN - CENTRAL,609582,NBNSYS0100053644,2
ANGLIAN - CENTRAL,609582,NBNSYS0100053652,1
ANGLIAN - CENTRAL,580924,NBNSYS0100041529,12
ANGLIAN - CENTRAL,580924,NBNSYS0100041571,86
ANGLIAN - CENTRAL,580924,NBNSYS0100041609,8
ANGLIAN - CENTRAL,580924,NBNSYS0100041931,4
ANGLIAN - CENTRAL,580924,NBNSYS0100041935,121
ANGLIAN - CENTRAL,580924,NBNSYS0100043875,3
